"Name","Location","Function Signature","Function Size","Namespace"
"@class$4017d_camera_cpp","8017d0cc","void @class$4017d_camera_cpp(@class$4017d_camera_cpp * this)","4","dCamera_c::@class$4017d_camera_cpp"
"__AI_set_stream_sample_rate","80316be8","undefined __AI_set_stream_sample_rate()","212","ai"
"__AI_SRC_INIT","80317010","undefined __AI_SRC_INIT()","484","ai"
"__AICallbackStackSwitch","80316fb8","undefined __AICallbackStackSwitch()","88","ai"
"__AIDHandler","80316f0c","undefined __AIDHandler()","172","ai"
"__AISHandler","80316e90","undefined __AISHandler()","124","ai"
"__ARChecksize","803174dc","undefined __ARChecksize()","6132","ar"
"__ARHandler","80317464","undefined __ARHandler()","120","ar"
"__ARQCallbackHack","80318dd0","undefined __ARQCallbackHack()","4","ar"
"__ARQInterruptServiceRoutine","80318dd4","undefined __ARQInterruptServiceRoutine()","204","ar"
"__ARQServiceQueueLo","80318cd0","undefined __ARQServiceQueueLo()","256","ar"
"__arraydtor$3997","808081fc","undefined __arraydtor$3997()","56","d_a_obj_buoyflag"
"__arraydtor$4057","800e5914","undefined __arraydtor$4057()","56","d_a_dai_item"
"__arraydtor$4057","8045c678","undefined __arraydtor$4057()","56","d_a_obj_movebox"
"__arraydtor$4059","800e58dc","undefined __arraydtor$4059()","56","d_a_dai_item"
"__arraydtor$4060","8045c3ac","undefined __arraydtor$4060()","56","d_a_obj_movebox"
"__arraydtor$4061","800e58a4","undefined __arraydtor$4061()","56","d_a_dai_item"
"__arraydtor$4063","800e586c","undefined __arraydtor$4063()","56","d_a_dai_item"
"__arraydtor$4065","800e5834","undefined __arraydtor$4065()","56","d_a_dai_item"
"__arraydtor$4067","800e57fc","undefined __arraydtor$4067()","56","d_a_dai_item"
"__arraydtor$4069","800e57c4","undefined __arraydtor$4069()","56","d_a_dai_item"
"__arraydtor$4071","800e578c","undefined __arraydtor$4071()","56","d_a_dai_item"
"__arraydtor$4184","80051fcc","undefined __arraydtor$4184()","56","d_map"
"__arraydtor$4186","80051f78","undefined __arraydtor$4186()","56","d_map"
"__arraydtor$4188","80051f00","undefined __arraydtor$4188()","56","d_map"
"__arraydtor$4195","8060b210","undefined __arraydtor$4195()","56","d_a_bwd"
"__arraydtor$4196","80051eac","undefined __arraydtor$4196()","56","d_map"
"__arraydtor$4200","80051e58","undefined __arraydtor$4200()","56","d_map"
"__arraydtor$4202","80051e20","undefined __arraydtor$4202()","56","d_map"
"__arraydtor$4205","80051de8","undefined __arraydtor$4205()","56","d_map"
"__arraydtor$4710","80205edc","undefined __arraydtor$4710()","56","d_meter"
"__arraydtor$5507","8058a474","undefined __arraydtor$5507()","56","d_a_bdk"
"__arraydtor$5591","80045324","undefined __arraydtor$5591()","56","d_stage"
"__CARDAccess","8031e684","card_errors __CARDAccess(CardBlockData * param_1\, card_direntry * param_2)","152","card"
"__CARDAllocBlock","8031bfa4","card_errors __CARDAllocBlock(int card_slot\, uint size)","280","card"
"__CARDCheckSum","8031c3cc","undefined __CARDCheckSum()","432","card"
"__CARDClearStatus","80319b70","card_errors __CARDClearStatus(undefined4 param_1)","172","card"
"__CARDCompareFileName","8031e61c","bool __CARDCompareFileName(card_file_header * file_header\, char * filename)","104","card"
"__CARDDefaultApiCallback","8031966c","undefined __CARDDefaultApiCallback()","4","card"
"__CARDEnableInterrupt","803199c0","card_errors __CARDEnableInterrupt(undefined4 param_1\, int param_2)","192","card"
"__CARDEraseSector","8031a400","undefined __CARDEraseSector(undefined4 card_slot\, undefined4 param_2)","224","card"
"__CARDExiHandler","8031977c","undefined __CARDExiHandler()","280","card"
"__CARDExtHandler","803196a4","undefined __CARDExtHandler(undefined4 card_slot)","216","card"
"__CARDFormatRegionAsync","8031df70","undefined __CARDFormatRegionAsync(undefined4 card_slot\, undefined2 param_2\, undefined4 attach_cb)","1624","card"
