"Label","Location","Type","Size","Namespace"
"DAT_80000000","80000000","undefined1","1","Global"
"DAT_80000001","80000001","undefined1","1","Global"
"DAT_80000002","80000002","undefined1","1","Global"
"DAT_80000003","80000003","undefined1","1","Global"
"DAT_80000004","80000004","undefined1","1","Global"
"DAT_80000005","80000005","undefined1","1","Global"
"DAT_80000006","80000006","undefined1","1","Global"
"DAT_80000007","80000007","undefined1","1","Global"
"DAT_80000008","80000008","undefined1","1","Global"
"DAT_80000028","80000028","undefined4","4","Global"
"DAT_80000034","80000034","undefined4","4","Global"
"DAT_80000038","80000038","undefined4","4","Global"
"DAT_8000003c","8000003c","undefined4","4","Global"
"DAT_80000044","80000044","undefined4","4","Global"
"DAT_80000048","80000048","undefined4","4","Global"
"DAT_80000060","80000060","undefined4","4","Global"
"DAT_800000c0","800000c0","undefined4","4","Global"
"DAT_800000c4","800000c4","undefined4","4","Global"
"DAT_800000c8","800000c8","undefined4","4","Global"
"DAT_800000cc","800000cc","undefined4","4","Global"
"DAT_800000d4","800000d4","undefined4","4","Global"
"DAT_800000d8","800000d8","undefined4","4","Global"
"DAT_800000dc","800000dc","undefined4","4","Global"
"DAT_800000e0","800000e0","undefined4","4","Global"
"DAT_800000e4","800000e4","undefined4","4","Global"
"DAT_800000f0","800000f0","undefined4","4","Global"
"DAT_800000f4","800000f4","undefined4","4","Global"
"DAT_800000f8","800000f8","undefined4","4","Global"
"DAT_800030c0","800030c0","undefined4","4","Global"
"DAT_800030c4","800030c4","undefined4","4","Global"
"DAT_800030c8","800030c8","undefined4","4","Global"
"DAT_800030cc","800030cc","undefined4","4","Global"
"DAT_800030d0","800030d0","undefined4","4","Global"
"DAT_800030d8","800030d8","undefined4","4","Global"
"DAT_800030dc","800030dc","undefined4","4","Global"
"DAT_800030e0","800030e0","undefined2","2","Global"
"DAT_800030e2","800030e2","undefined1","1","Global"
"DAT_800030e3","800030e3","undefined1","1","Global"
"DAT_800030e4","800030e4","undefined2","2","Global"
"DAT_800030e6","800030e6","undefined2","2","Global"
"DAT_800030e8","800030e8","undefined4","4","Global"
"PTR_FUN_8000556c","8000556c","pointer","4","Global"
"PTR_FUN_80005570","80005570","pointer","4","Global"
"DAT_80005574","80005574","undefined4","4","Global"
"DAT_80005580","80005580","undefined4","4","Global"
